"REF_DATE","GEO","DGUID","Operational and financial statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1981-03","Canada","2021A000011124","Total operating expenses","Dollars","81","thousands","3","v11750","1.8","288982","","","t","0"
"1981-03","Canada","2021A000011124","Total interest expenses","Dollars","81","thousands","3","v11751","1.9","0","","","t","0"
"1981-04","Canada","2021A000011124","Passengers","Number","223","thousands","3","v11743","1.1","2083","","","","0"
"1981-04","Canada","2021A000011124","Passenger-kilometres","Number","223","thousands","3","v11744","1.2","3445193","","","","0"
"1981-04","Canada","2021A000011124","Kilograms of goods","Kilograms","192","thousands","3","v11745","1.3","33417","","","t","0"
"1981-04","Canada","2021A000011124","Goods tonne-kilometres","Tonne-kilometres","285","thousands","3","v11746","1.4","74032","","","t","0"
"1981-04","Canada","2021A000011124","Hours flown","Number","223","thousands","3","v11747","1.5","53","","","","0"
"1981-04","Canada","2021A000011124","Turbo fuel consumed","Litres","203","thousands","3","v11748","1.6","281557","","","","0"
"1981-04","Canada","2021A000011124","Total operating revenues","Dollars","81","thousands","3","v11749","1.7","301008","","","","0"
"1981-04","Canada","2021A000011124","Total operating expenses","Dollars","81","thousands","3","v11750","1.8","289909","","","t","0"
"1981-04","Canada","2021A000011124","Total interest expenses","Dollars","81","thousands","3","v11751","1.9","0","","","t","0"
"1981-05","Canada","2021A000011124","Passengers","Number","223","thousands","3","v11743","1.1","2118","","","","0"
"1981-05","Canada","2021A000011124","Passenger-kilometres","Number","223","thousands","3","v11744","1.2","3776100","","","","0"
"1981-05","Canada","2021A000011124","Kilograms of goods","Kilograms","192","thousands","3","v11745","1.3","33641","","","t","0"
"1981-05","Canada","2021A000011124","Goods tonne-kilometres","Tonne-kilometres","285","thousands","3","v11746","1.4","73740","","","t","0"
"1981-05","Canada","2021A000011124","Hours flown","Number","223","thousands","3","v11747","1.5","53","","","","0"
"1981-05","Canada","2021A000011124","Turbo fuel consumed","Litres","203","thousands","3","v11748","1.6","292700","","","","0"
"1981-05","Canada","2021A000011124","Total operating revenues","Dollars","81","thousands","3","v11749","1.7","320503","","","","0"
"1981-05","Canada","2021A000011124","Total operating expenses","Dollars","81","thousands","3","v11750","1.8","304219","","","t","0"
"1981-05","Canada","2021A000011124","Total interest expenses","Dollars","81","thousands","3","v11751","1.9","0","","","t","0"
"1981-06","Canada","2021A000011124","Passengers","Number","223","thousands","3","v11743","1.1","2186","","","","0"
"1981-06","Canada","2021A000011124","Passenger-kilometres","Number","223","thousands","3","v11744","1.2","4136173","","","","0"
"1981-06","Canada","2021A000011124","Kilograms of goods","Kilograms","192","thousands","3","v11745","1.3","29715","","","t","0"
"1981-06","Canada","2021A000011124","Goods tonne-kilometres","Tonne-kilometres","285","thousands","3","v11746","1.4","69991","","","t","0"
"1981-06","Canada","2021A000011124","Hours flown","Number","223","thousands","3","v11747","1.5","55","","","","0"
"1981-06","Canada","2021A000011124","Turbo fuel consumed","Litres","203","thousands","3","v11748","1.6","363394","","","","0"
"1981-06","Canada","2021A000011124","Total operating revenues","Dollars","81","thousands","3","v11749","1.7","353563","","","","0"
"1981-06","Canada","2021A000011124","Total operating expenses","Dollars","81","thousands","3","v11750","1.8","333581","","","t","0"
"1981-06","Canada","2021A000011124","Total interest expenses","Dollars","81","thousands","3","v11751","1.9","0","","","t","0"
"1981-07","Canada","2021A000011124","Passengers","Number","223","thousands","3","v11743","1.1","2349","","","","0"
"1981-07","Canada","2021A000011124","Passenger-kilometres","Number","223","thousands","3","v11744","1.2","4910259","","","","0"
"1981-07","Canada","2021A000011124","Kilograms of goods","Kilograms","192","thousands","3","v11745","1.3","26947","","","t","0"
"1981-07","Canada","2021A000011124","Goods tonne-kilometres","Tonne-kilometres","285","thousands","3","v11746","1.4","70193","","","t","0"
"1981-07","Canada","2021A000011124","Hours flown","Number","223","thousands","3","v11747","1.5","61","","","","0"
"1981-07","Canada","2021A000011124","Turbo fuel consumed","Litres","203","thousands","3","v11748","1.6","348236","","","","0"
"1981-07","Canada","2021A000011124","Total operating revenues","Dollars","81","thousands","3","v11749","1.7","397478","","","","0"
"1981-07","Canada","2021A000011124","Total operating expenses","Dollars","81","thousands","3","v11750","1.8","349799","","","t","0"
"1981-07","Canada","2021A000011124","Total interest expenses","Dollars","81","thousands","3","v11751","1.9","0","","","t","0"
"1981-08","Canada","2021A000011124","Passengers","Number","223","thousands","3","v11743","1.1","2376","","","","0"
"1981-08","Canada","2021A000011124","Passenger-kilometres","Number","223","thousands","3","v11744","1.2","5092518","","","","0"
"1981-08","Canada","2021A000011124","Kilograms of goods","Kilograms","192","thousands","3","v11745","1.3","29499","","","t","0"
"1981-08","Canada","2021A000011124","Goods tonne-kilometres","Tonne-kilometres","285","thousands","3","v11746","1.4","71869","","","t","0"
"1981-08","Canada","2021A000011124","Hours flown","Number","223","thousands","3","v11747","1.5","63","","","","0"
"1981-08","Canada","2021A000011124","Turbo fuel consumed","Litres","203","thousands","3","v11748","1.6","344976","","","","0"
"1981-08","Canada","2021A000011124","Total operating revenues","Dollars","81","thousands","3","v11749","1.7","406144","","","","0"
"1981-08","Canada","2021A000011124","Total operating expenses","Dollars","81","thousands","3","v11750","1.8","352275","","","t","0"
"1981-08","Canada","2021A000011124","Total interest expenses","Dollars","81","thousands","3","v11751","1.9","0","","","t","0"
"1981-09","Canada","2021A000011124","Passengers","Number","223","thousands","3","v11743","1.1","2182","","","","0"
"1981-09","Canada","2021A000011124","Passenger-kilometres","Number","223","thousands","3","v11744","1.2","4021477","","","","0"
"1981-09","Canada","2021A000011124","Kilograms of goods","Kilograms","192","thousands","3","v11745","1.3","33041","","","t","0"
"1981-09","Canada","2021A000011124","Goods tonne-kilometres","Tonne-kilometres","285","thousands","3","v11746","1.4","74509","","","t","0"
"1981-09","Canada","2021A000011124","Hours flown","Number","223","thousands","3","v11747","1.5","54","","","","0"
"1981-09","Canada","2021A000011124","Turbo fuel consumed","Litres","203","thousands","3","v11748","1.6","303819","","","","0"
"1981-09","Canada","2021A000011124","Total operating revenues","Dollars","81","thousands","3","v11749","1.7","351259","","","","0"
"1981-09","Canada","2021A000011124","Total operating expenses","Dollars","81","thousands","3","v11750","1.8","335210","","","t","0"
"1981-09","Canada","2021A000011124","Total interest expenses","Dollars","81","thousands","3","v11751","1.9","0","","","t","0"
"1981-10","Canada","2021A000011124","Passengers","Number","223","thousands","3","v11743","1.1","1973","","","","0"
"1981-10","Canada","2021A000011124","Passenger-kilometres","Number","223","thousands","3","v11744","1.2","3355315","","","","0"
"1981-10","Canada","2021A000011124","Kilograms of goods","Kilograms","192","thousands","3","v11745","1.3","31905","","","t","0"
"1981-10","Canada","2021A000011124","Goods tonne-kilometres","Tonne-kilometres","285","thousands","3","v11746","1.4","77423","","","t","0"
"1981-10","Canada","2021A000011124","Hours flown","Number","223","thousands","3","v11747","1.5","52","","","","0"
"1981-10","Canada","2021A000011124","Turbo fuel consumed","Litres","203","thousands","3","v11748","1.6","277126","","","","0"
"1981-10","Canada","2021A000011124","Total operating revenues","Dollars","81","thousands","3","v11749","1.7","318073","","","","0"
"1981-10","Canada","2021A000011124","Total operating expenses","Dollars","81","thousands","3","v11750","1.8","315448","","","t","0"
"1981-10","Canada","2021A000011124","Total interest expenses","Dollars","81","thousands","3","v11751","1.9","0","","","t","0"
"1981-11","Canada","2021A000011124","Passengers","Number","223","thousands","3","v11743","1.1","1758","","","","0"
"1981-11","Canada","2021A000011124","Passenger-kilometres","Number","223","thousands","3","v11744","1.2","2837680","","","","0"
"1981-11","Canada","2021A000011124","Kilograms of goods","Kilograms","192","thousands","3","v11745","1.3","26481","","","t","0"
"1981-11","Canada","2021A000011124","Goods tonne-kilometres","Tonne-kilometres","285","thousands","3","v11746","1.4","77595","","","t","0"
"1981-11","Canada","2021A000011124","Hours flown","Number","223","thousands","3","v11747","1.5","50","","","","0"
"1981-11","Canada","2021A000011124","Turbo fuel consumed","Litres","203","thousands","3","v11748","1.6","259323","","","","0"
"1981-11","Canada","2021A000011124","Total operating revenues","Dollars","81","thousands","3","v11749","1.7","277966","","","","0"
"1981-11","Canada","2021A000011124","Total operating expenses","Dollars","81","thousands","3","v11750","1.8","306981","","","t","0"
"1981-11","Canada","2021A000011124","Total interest expenses","Dollars","81","thousands","3","v11751","1.9","0","","","t","0"
"1981-12","Canada","2021A000011124","Passengers","Number","223","thousands","3","v11743","1.1","1883","","","","0"
"1981-12","Canada","2021A000011124","Passenger-kilometres","Number","223","thousands","3","v11744","1.2","3364341","","","","0"
"1981-12","Canada","2021A000011124","Kilograms of goods","Kilograms","192","thousands","3","v11745","1.3","34524","","","t","0"
"1981-12","Canada","2021A000011124","Goods tonne-kilometres","Tonne-kilometres","285","thousands","3","v11746","1.4","79986","","","t","0"
"1981-12","Canada","2021A000011124","Hours flown","Number","223","thousands","3","v11747","1.5","53","","","","0"
"1981-12","Canada","2021A000011124","Turbo fuel consumed","Litres","203","thousands","3","v11748","1.6","290530","","","","0"
"1981-12","Canada","2021A000011124","Total operating revenues","Dollars","81","thousands","3","v11749","1.7","310541","","","","0"
"1981-12","Canada","2021A000011124","Total operating expenses","Dollars","81","thousands","3","v11750","1.8","309764","","","t","0"
"1981-12","Canada","2021A000011124","Total interest expenses","Dollars","81","thousands","3","v11751","1.9","0","","","t","0"
"1982-01","Canada","2021A000011124","Passengers","Number","223","thousands","3","v11743","1.1","2038","","","","0"
"1982-01","Canada","2021A000011124","Passenger-kilometres","Number","223","thousands","3","v11744","1.2","3559529","","","","0"
"1982-01","Canada","2021A000011124","Kilograms of goods","Kilograms","192","thousands","3","v11745","1.3","30406","","","t","0"
"1982-01","Canada","2021A000011124","Goods tonne-kilometres","Tonne-kilometres","285","thousands","3","v11746","1.4","67648","","","t","0"
"1982-01","Canada","2021A000011124","Hours flown","Number","223","thousands","3","v11747","1.5","56","","","","0"
"1982-01","Canada","2021A000011124","Turbo fuel consumed","Litres","203","thousands","3","v11748","1.6","292142","","","","0"
"1982-01","Canada","2021A000011124","Total operating revenues","Dollars","81","thousands","3","v11749","1.7","304814","","","","0"
"1982-01","Canada","2021A000011124","Total operating expenses","Dollars","81","thousands","3","v11750","1.8","326981","","","t","0"
"1982-01","Canada","2021A000011124","Total interest expenses","Dollars","81","thousands","3","v11751","1.9","0","","","t","0"
"1982-02","Canada","2021A000011124","Passengers","Number","223","thousands","3","v11743","1.1","1969","","","","0"
"1982-02","Canada","2021A000011124","Passenger-kilometres","Number","223","thousands","3","v11744","1.2","3212662","","","","0"
"1982-02","Canada","2021A000011124","Kilograms of goods","Kilograms","192","thousands","3","v11745","1.3","29366","","","t","0"
"1982-02","Canada","2021A000011124","Goods tonne-kilometres","Tonne-kilometres","285","thousands","3","v11746","1.4","67924","","","t","0"
"1982-02","Canada","2021A000011124","Hours flown","Number","223","thousands","3","v11747","1.5","49","","","","0"
"1982-02","Canada","2021A000011124","Turbo fuel consumed","Litres","203","thousands","3","v11748","1.6","265352","","","","0"
"1982-02","Canada","2021A000011124","Total operating revenues","Dollars","81","thousands","3","v11749","1.7","284105","","","","0"
"1982-02","Canada","2021A000011124","Total operating expenses","Dollars","81","thousands","3","v11750","1.8","318511","","","t","0"
"1982-02","Canada","2021A000011124","Total interest expenses","Dollars","81","thousands","3","v11751","1.9","0","","","t","0"
"1982-03","Canada","2021A000011124","Passengers","Number","223","thousands","3","v11743","1.1","2091","","","","0"
"1982-03","Canada","2021A000011124","Passenger-kilometres","Number","223","thousands","3","v11744","1.2","3829845","","","","0"
"1982-03","Canada","2021A000011124","Kilograms of goods","Kilograms","192","thousands","3","v11745","1.3","34367","","","t","0"
"1982-03","Canada","2021A000011124","Goods tonne-kilometres","Tonne-kilometres","285","thousands","3","v11746","1.4","77345","","","t","0"
"1982-03","Canada","2021A000011124","Hours flown","Number","223","thousands","3","v11747","1.5","56","","","","0"
"1982-03","Canada","2021A000011124","Turbo fuel consumed","Litres","203","thousands","3","v11748","1.6","297166","","","","0"
"1982-03","Canada","2021A000011124","Total operating revenues","Dollars","81","thousands","3","v11749","1.7","325645","","","","0"
"1982-03","Canada","2021A000011124","Total operating expenses","Dollars","81","thousands","3","v11750","1.8","342735","","","t","0"
"1982-03","Canada","2021A000011124","Total interest expenses","Dollars","81","thousands","3","v11751","1.9","0","","","t","0"
"1982-04","Canada","2021A000011124","Passengers","Number","223","thousands","3","v11743","1.1","2065","","","","0"
"1982-04","Canada","2021A000011124","Passenger-kilometres","Number","223","thousands","3","v11744","1.2","3555431","","","","0"
"1982-04","Canada","2021A000011124","Kilograms of goods","Kilograms","192","thousands","3","v11745","1.3","30377","","","t","0"
"1982-04","Canada","2021A000011124","Goods tonne-kilometres","Tonne-kilometres","285","thousands","3","v11746","1.4","69928","","","t","0"
"1982-04","Canada","2021A000011124","Hours flown","Number","223","thousands","3","v11747","1.5","52","","","","0"
"1982-04","Canada","2021A000011124","Turbo fuel consumed","Litres","203","thousands","3","v11748","1.6","279995","","","","0"
"1982-04","Canada","2021A000011124","Total operating revenues","Dollars","81","thousands","3","v11749","1.7","316422","","","","0"
"1982-04","Canada","2021A000011124","Total operating expenses","Dollars","81","thousands","3","v11750","1.8","333983","","","t","0"
"1982-04","Canada","2021A000011124","Total interest expenses","Dollars","81","thousands","3","v11751","1.9","0","","","t","0"
"1982-05","Canada","2021A000011124","Passengers","Number","223","thousands","3","v11743","1.1","1870","","","","0"
"1982-05","Canada","2021A000011124","Passenger-kilometres","Number","223","thousands","3","v11744","1.2","3538095","","","","0"
"1982-05","Canada","2021A000011124","Kilograms of goods","Kilograms","192","thousands","3","v11745","1.3","29149","","","t","0"
"1982-05","Canada","2021A000011124","Goods tonne-kilometres","Tonne-kilometres","285","thousands","3","v11746","1.4","70566","","","t","0"
"1982-05","Canada","2021A000011124","Hours flown","Number","223","thousands","3","v11747","1.5","53","","","","0"
"1982-05","Canada","2021A000011124","Turbo fuel consumed","Litres","203","thousands","3","v11748","1.6","283875","","","","0"
"1982-05","Canada","2021A000011124","Total operating revenues","Dollars","81","thousands","3","v11749","1.7","321826","","","","0"
"1982-05","Canada","2021A000011124","Total operating expenses","Dollars","81","thousands","3","v11750","1.8","335889","","","t","0"
"1982-05","Canada","2021A000011124","Total interest expenses","Dollars","81","thousands","3","v11751","1.9","0","","","t","0"
"1982-06","Canada","2021A000011124","Passengers","Number","223","thousands","3","v11743","1.1","1947","","","","0"
"1982-06","Canada","2021A000011124","Passenger-kilometres","Number","223","thousands","3","v11744","1.2","3951942","","","","0"
"1982-06","Canada","2021A000011124","Kilograms of goods","Kilograms","192","thousands","3","v11745","1.3","24868","","","t","0"
"1982-06","Canada","2021A000011124","Goods tonne-kilometres","Tonne-kilometres","285","thousands","3","v11746","1.4","70612","","","t","0"
"1982-06","Canada","2021A000011124","Hours flown","Number","223","thousands","3","v11747","1.5","53","","","","0"
"1982-06","Canada","2021A000011124","Turbo fuel consumed","Litres","203","thousands","3","v11748","1.6","342769","","","","0"
"1982-06","Canada","2021A000011124","Total operating revenues","Dollars","81","thousands","3","v11749","1.7","349273","","","","0"
"1982-06","Canada","2021A000011124","Total operating expenses","Dollars","81","thousands","3","v11750","1.8","315537","","","t","0"
"1982-06","Canada","2021A000011124","Total interest expenses","Dollars","81","thousands","3","v11751","1.9","0","","","t","0"
"1982-07","Canada","2021A000011124","Passengers","Number","223","thousands","3","v11743","1.1","2141","","","","0"
"1982-07","Canada","2021A000011124","Passenger-kilometres","Number","223","thousands","3","v11744","1.2","4784099","","","","0"
"1982-07","Canada","2021A000011124","Kilograms of goods","Kilograms","192","thousands","3","v11745","1.3","18856","","","t","0"
"1982-07","Canada","2021A000011124","Goods tonne-kilometres","Tonne-kilometres","285","thousands","3","v11746","1.4","54041","","","t","0"
"1982-07","Canada","2021A000011124","Hours flown","Number","223","thousands","3","v11747","1.5","59","","","","0"
"1982-07","Canada","2021A000011124","Turbo fuel consumed","Litres","203","thousands","3","v11748","1.6","327273","","","","0"
"1982-07","Canada","2021A000011124","Total operating revenues","Dollars","81","thousands","3","v11749","1.7","397303","","","","0"
"1982-07","Canada","2021A000011124","Total operating expenses","Dollars","81","thousands","3","v11750","1.8","364522","","","t","0"
"1982-07","Canada","2021A000011124","Total interest expenses","Dollars","81","thousands","3","v11751","1.9","13597","","","t","0"
"1982-08","Canada","2021A000011124","Passengers","Number","223","thousands","3","v11743","1.1","2183","","","","0"
"1982-08","Canada","2021A000011124","Passenger-kilometres","Number","223","thousands","3","v11744","1.2","4855201","","","","0"
"1982-08","Canada","2021A000011124","Kilograms of goods","Kilograms","192","thousands","3","v11745","1.3","26732","","","t","0"
"1982-08","Canada","2021A000011124","Goods tonne-kilometres","Tonne-kilometres","285","thousands","3","v11746","1.4","69853","","","t","0"
"1982-08","Canada","2021A000011124","Hours flown","Number","223","thousands","3","v11747","1.5","55","","","","0"
"1982-08","Canada","2021A000011124","Turbo fuel consumed","Litres","203","thousands","3","v11748","1.6","321592","","","","0"
"1982-08","Canada","2021A000011124","Total operating revenues","Dollars","81","thousands","3","v11749","1.7","402451","","","","0"
"1982-08","Canada","2021A000011124","Total operating expenses","Dollars","81","thousands","3","v11750","1.8","366243","","","t","0"
"1982-08","Canada","2021A000011124","Total interest expenses","Dollars","81","thousands","3","v11751","1.9","15344","","","t","0"
"1982-09","Canada","2021A000011124","Passengers","Number","223","thousands","3","v11743","1.1","1831","","","","0"
"1982-09","Canada","2021A000011124","Passenger-kilometres","Number","223","thousands","3","v11744","1.2","3921720","","","","0"
"1982-09","Canada","2021A000011124","Kilograms of goods","Kilograms","192","thousands","3","v11745","1.3","32277","","","t","0"
"1982-09","Canada","2021A000011124","Goods tonne-kilometres","Tonne-kilometres","285","thousands","3","v11746","1.4","72484","","","t","0"
"1982-09","Canada","2021A000011124","Hours flown","Number","223","thousands","3","v11747","1.5","51","","","","0"
"1982-09","Canada","2021A000011124","Turbo fuel consumed","Litres","203","thousands","3","v11748","1.6","278441","","","","0"
"1982-09","Canada","2021A000011124","Total operating revenues","Dollars","81","thousands","3","v11749","1.7","344005","","","","0"
"1982-09","Canada","2021A000011124","Total operating expenses","Dollars","81","thousands","3","v11750","1.8","319385","","","t","0"
"1982-09","Canada","2021A000011124","Total interest expenses","Dollars","81","thousands","3","v11751","1.9","12378","","","t","0"
"1982-10","Canada","2021A000011124","Passengers","Number","223","thousands","3","v11743","1.1","1640","","","","0"
"1982-10","Canada","2021A000011124","Passenger-kilometres","Number","223","thousands","3","v11744","1.2","2991322","","","","0"
"1982-10","Canada","2021A000011124","Kilograms of goods","Kilograms","192","thousands","3","v11745","1.3","34595","","","t","0"
"1982-10","Canada","2021A000011124","Goods tonne-kilometres","Tonne-kilometres","285","thousands","3","v11746","1.4","77952","","","t","0"
"1982-10","Canada","2021A000011124","Hours flown","Number","223","thousands","3","v11747","1.5","47","","","","0"
"1982-10","Canada","2021A000011124","Turbo fuel consumed","Litres","203","thousands","3","v11748","1.6","250300","","","","0"
"1982-10","Canada","2021A000011124","Total operating revenues","Dollars","81","thousands","3","v11749","1.7","301724","","","","0"
"1982-10","Canada","2021A000011124","Total operating expenses","Dollars","81","thousands","3","v11750","1.8","308376","","","t","0"
"1982-10","Canada","2021A000011124","Total interest expenses","Dollars","81","thousands","3","v11751","1.9","12690","","","t","0"
"1982-11","Canada","2021A000011124","Passengers","Number","223","thousands","3","v11743","1.1","1374","","","","0"
"1982-11","Canada","2021A000011124","Passenger-kilometres","Number","223","thousands","3","v11744","1.2","2275468","","","","0"
"1982-11","Canada","2021A000011124","Kilograms of goods","Kilograms","192","thousands","3","v11745","1.3","31805","","","t","0"
"1982-11","Canada","2021A000011124","Goods tonne-kilometres","Tonne-kilometres","285","thousands","3","v11746","1.4","79876","","","t","0"
"1982-11","Canada","2021A000011124","Hours flown","Number","223","thousands","3","v11747","1.5","45","","","","0"
"1982-11","Canada","2021A000011124","Turbo fuel consumed","Litres","203","thousands","3","v11748","1.6","230733","","","","0"
"1982-11","Canada","2021A000011124","Total operating revenues","Dollars","81","thousands","3","v11749","1.7","252721","","","","0"
"1982-11","Canada","2021A000011124","Total operating expenses","Dollars","81","thousands","3","v11750","1.8","298668","","","t","0"
"1982-11","Canada","2021A000011124","Total interest expenses","Dollars","81","thousands","3","v11751","1.9","12572","","","t","0"
"1982-12","Canada","2021A000011124","Passengers","Number","223","thousands","3","v11743","1.1","1545","","","","0"
"1982-12","Canada","2021A000011124","Passenger-kilometres","Number","223","thousands","3","v11744","1.2","2820465","","","","0"
"1982-12","Canada","2021A000011124","Kilograms of goods","Kilograms","192","thousands","3","v11745","1.3","35275","","","t","0"
"1982-12","Canada","2021A000011124","Goods tonne-kilometres","Tonne-kilometres","285","thousands","3","v11746","1.4","82306","","","t","0"
"1982-12","Canada","2021A000011124","Hours flown","Number","223","thousands","3","v11747","1.5","47","","","","0"
"1982-12","Canada","2021A000011124","Turbo fuel consumed","Litres","203","thousands","3","v11748","1.6","250657","","","","0"
"1982-12","Canada","2021A000011124","Total operating revenues","Dollars","81","thousands","3","v11749","1.7","292050","","","","0"
"1982-12","Canada","2021A000011124","Total operating expenses","Dollars","81","thousands","3","v11750","1.8","312703","","","t","0"
"1982-12","Canada","2021A000011124","Total interest expenses","Dollars","81","thousands","3","v11751","1.9","15212","","","t","0"
"1983-01","Canada","2021A000011124","Passengers","Number","223","thousands","3","v11743","1.1","1570","","","","0"
"1983-01","Canada","2021A000011124","Passenger-kilometres","Number","223","thousands","3","v11744","1.2","3042247","","","","0"
"1983-01","Canada","2021A000011124","Kilograms of goods","Kilograms","192","thousands","3","v11745","1.3","29796","","","t","0"
"1983-01","Canada","2021A000011124","Goods tonne-kilometres","Tonne-kilometres","285","thousands","3","v11746","1.4","69408","","","t","0"
"1983-01","Canada","2021A000011124","Hours flown","Number","223","thousands","3","v11747","1.5","48","","","","0"
"1983-01","Canada","2021A000011124","Turbo fuel consumed","Litres","203","thousands","3","v11748","1.6","255089","","","","0"
"1983-01","Canada","2021A000011124","Total operating revenues","Dollars","81","thousands","3","v11749","1.7","279668","","","","0"
"1983-01","Canada","2021A000011124","Total operating expenses","Dollars","81","thousands","3","v11750","1.8","306986","","","t","0"
"1983-01","Canada","2021A000011124","Total interest expenses","Dollars","81","thousands","3","v11751","1.9","11029","","","t","0"
"1983-02","Canada","2021A000011124","Passengers","Number","223","thousands","3","v11743","1.1","1474","","","","0"
"1983-02","Canada","2021A000011124","Passenger-kilometres","Number","223","thousands","3","v11744","1.2","2720289","","","","0"
"1983-02","Canada","2021A000011124","Kilograms of goods","Kilograms","192","thousands","3","v11745","1.3","29839","","","t","0"
"1983-02","Canada","2021A000011124","Goods tonne-kilometres","Tonne-kilometres","285","thousands","3","v11746","1.4","70683","","","t","0"
"1983-02","Canada","2021A000011124","Hours flown","Number","223","thousands","3","v11747","1.5","45","","","","0"
"1983-02","Canada","2021A000011124","Turbo fuel consumed","Litres","203","thousands","3","v11748","1.6","229648","","","","0"
"1983-02","Canada","2021A000011124","Total operating revenues","Dollars","81","thousands","3","v11749","1.7","262001","","","","0"
"1983-02","Canada","2021A000011124","Total operating expenses","Dollars","81","thousands","3","v11750","1.8","297841","","","t","0"
"1983-02","Canada","2021A000011124","Total interest expenses","Dollars","81","thousands","3","v11751","1.9","10070","","","t","0"
"1983-03","Canada","2021A000011124","Passengers","Number","223","thousands","3","v11743","1.1","1840","","","","0"
"1983-03","Canada","2021A000011124","Passenger-kilometres","Number","223","thousands","3","v11744","1.2","3514227","","","","0"
"1983-03","Canada","2021A000011124","Kilograms of goods","Kilograms","192","thousands","3","v11745","1.3","30705","","","t","0"
"1983-03","Canada","2021A000011124","Goods tonne-kilometres","Tonne-kilometres","285","thousands","3","v11746","1.4","84172","","","t","0"
"1983-03","Canada","2021A000011124","Hours flown","Number","223","thousands","3","v11747","1.5","50","","","","0"
"1983-03","Canada","2021A000011124","Turbo fuel consumed","Litres","203","thousands","3","v11748","1.6","267735","","","","0"
"1983-03","Canada","2021A000011124","Total operating revenues","Dollars","81","thousands","3","v11749","1.7","322768","","","","0"
"1983-03","Canada","2021A000011124","Total operating expenses","Dollars","81","thousands","3","v11750","1.8","322077","","","t","0"
"1983-03","Canada","2021A000011124","Total interest expenses","Dollars","81","thousands","3","v11751","1.9","11259","","","t","0"
"1983-04","Canada","2021A000011124","Passengers","Number","223","thousands","3","v11743","1.1","1756","","","","0"
"1983-04","Canada","2021A000011124","Passenger-kilometres","Number","223","thousands","3","v11744","1.2","3380184","","","","0"
"1983-04","Canada","2021A000011124","Kilograms of goods","Kilograms","192","thousands","3","v11745","1.3","33445","","","t","0"
"1983-04","Canada","2021A000011124","Goods tonne-kilometres","Tonne-kilometres","285","thousands","3","v11746","1.4","75961","","","t","0"
